date,name,category,value
2020-08-15,ETH,DeFi,438.13
2020-08-15,LINK,Link,16.9375
2020-08-15,LTC,Ltc,56.775
2020-08-16,BNB,CeFi,23.102
2020-08-16,ETH,DeFi,432.54
2020-08-16,LINK,Link,19.2175
2020-08-16,LTC,Ltc,59.885
2020-08-17,BNB,CeFi,23.522
2020-08-17,ETH,DeFi,433.67
2020-08-17,LINK,Link,18.8065
2020-08-17,LTC,Ltc,63.945
2020-08-18,BNB,CeFi,23.488
2020-08-18,ETH,DeFi,430.5
2020-08-18,LINK,Link,16.768
2020-08-18,LTC,Ltc,67.225
2020-08-19,BNB,CeFi,22.989
2020-08-19,ETH,DeFi,421.93
2020-08-19,LINK,Link,16.175
2020-08-19,LTC,Ltc,65.38
2020-08-20,BNB,CeFi,22.365
2020-08-20,ETH,DeFi,407.47
2020-08-20,LINK,Link,16.211
2020-08-20,LTC,Ltc,62.06
2020-08-21,BNB,CeFi,23.099
2020-08-21,ETH,DeFi,416.04
2020-08-21,LINK,Link,16.05
2020-08-21,LTC,Ltc,62.79
2020-08-22,BNB,CeFi,22.088
2020-08-22,ETH,DeFi,387.71
2020-08-22,LINK,Link,13.8105
2020-08-22,LTC,Ltc,59.11
2020-08-23,BNB,CeFi,22.206
2020-08-23,ETH,DeFi,395.52
2020-08-23,LINK,Link,15.8335
2020-08-23,LTC,Ltc,60.195
2020-08-24,BNB,CeFi,21.837
2020-08-24,ETH,DeFi,390.8
2020-08-24,LINK,Link,15.152
2020-08-24,LTC,Ltc,60.6
2020-08-25,BNB,CeFi,22.587
2020-08-25,ETH,DeFi,407.83
2020-08-25,LINK,Link,15.139
2020-08-25,LTC,Ltc,62.09
2020-08-26,BNB,CeFi,21.387
2020-08-26,ETH,DeFi,383.1
2020-08-26,LINK,Link,14.133
2020-08-26,LTC,Ltc,58.365
2020-08-27,BNB,CeFi,22.21
2020-08-27,ETH,DeFi,385.96
2020-08-27,LINK,Link,15.2035
2020-08-27,LTC,Ltc,58.14
2020-08-28,BNB,CeFi,23.1
2020-08-28,ETH,DeFi,383.56
2020-08-28,LINK,Link,14.4995
2020-08-28,LTC,Ltc,56.105
2020-08-29,BNB,CeFi,23.07
2020-08-29,ETH,DeFi,395.38
2020-08-29,LINK,Link,15.135
2020-08-29,LTC,Ltc,57.41
2020-08-30,BNB,CeFi,22.956
2020-08-30,ETH,DeFi,398.61
2020-08-30,LINK,Link,16.384
2020-08-30,LTC,Ltc,56.97
2020-08-31,BNB,CeFi,23.634
2020-08-31,ETH,DeFi,428.71
2020-08-31,LINK,Link,16.465
2020-08-31,LTC,Ltc,62.92
2020-09-01,BNB,CeFi,23.117
2020-09-01,ETH,DeFi,433.81
2020-09-01,LINK,Link,15.566
2020-09-01,LTC,Ltc,60.945
2020-09-02,BNB,CeFi,24.709
2020-09-02,ETH,DeFi,475.3
2020-09-02,LINK,Link,16.05
2020-09-02,LTC,Ltc,62.655
2020-09-03,BNB,CeFi,24.739
2020-09-03,ETH,DeFi,439.37
2020-09-03,LINK,Link,14.7825
2020-09-03,LTC,Ltc,58.02
2020-09-04,BNB,CeFi,20.374
2020-09-04,ETH,DeFi,382.03
2020-09-04,LINK,Link,11.895
2020-09-04,LTC,Ltc,47.55
2020-09-05,BNB,CeFi,20.976
2020-09-05,ETH,DeFi,385.47
2020-09-05,LINK,Link,12.391
2020-09-05,LTC,Ltc,50.375
2020-09-06,BNB,CeFi,19.444
2020-09-06,ETH,DeFi,335.02
2020-09-06,LINK,Link,10.582
2020-09-06,LTC,Ltc,47.78
2020-09-07,BNB,CeFi,23.132
2020-09-07,ETH,DeFi,353.0
2020-09-07,LINK,Link,12.787
2020-09-07,LTC,Ltc,47.935
2020-09-08,BNB,CeFi,22.423
2020-09-08,ETH,DeFi,353.51
2020-09-08,LINK,Link,12.4655
2020-09-08,LTC,Ltc,48.805
2020-09-09,BNB,CeFi,23.262
2020-09-09,ETH,DeFi,337.23
2020-09-09,LINK,Link,11.7385
2020-09-09,LTC,Ltc,47.45
2020-09-10,BNB,CeFi,24.478
2020-09-10,ETH,DeFi,350.76
2020-09-10,LINK,Link,12.352
2020-09-10,LTC,Ltc,47.84
2020-09-11,BNB,CeFi,24.548
2020-09-11,ETH,DeFi,368.0
2020-09-11,LINK,Link,12.516
2020-09-11,LTC,Ltc,48.67
2020-09-12,BNB,CeFi,25.407
2020-09-12,ETH,DeFi,373.88
2020-09-12,LINK,Link,12.45
2020-09-12,LTC,Ltc,48.925
2020-09-13,BNB,CeFi,28.502
2020-09-13,ETH,DeFi,387.9
2020-09-13,LINK,Link,12.727
2020-09-13,LTC,Ltc,50.81
2020-09-14,BNB,CeFi,31.151
2020-09-14,ETH,DeFi,366.32
2020-09-14,LINK,Link,12.062
2020-09-14,LTC,Ltc,48.155
2020-09-15,BNB,CeFi,31.212
2020-09-15,ETH,DeFi,377.2
